               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.036304,            0.058529,             0.01223,             0.41425,             0.91667,             0.57085,             0.38538,            0.041596,            0.023869,            0.016948,           0.0088615,           0.0088615,           0.0088615
                 117,            0.038346,             0.05624,             0.01157,             0.39441,             0.87415,             0.57125,             0.36414,            0.042711,            0.024781,            0.016502,           0.0088516,           0.0088516,           0.0088516
                 118,            0.040489,            0.060248,            0.010961,             0.38127,             0.87925,              0.6049,             0.39575,             0.03867,            0.023455,            0.014339,           0.0088417,           0.0088417,           0.0088417
                 119,            0.036479,            0.057928,            0.012088,             0.39987,             0.87925,             0.57592,             0.39088,            0.039357,            0.023574,            0.013784,           0.0088318,           0.0088318,           0.0088318
                 120,            0.039205,            0.056839,            0.011667,             0.40056,             0.89594,             0.55817,             0.34997,            0.042815,            0.025769,            0.013421,           0.0088219,           0.0088219,           0.0088219
                 121,            0.040805,            0.063274,            0.011855,             0.37431,             0.90306,             0.58044,             0.38315,             0.04064,            0.024031,            0.013347,            0.008812,            0.008812,            0.008812
                 122,            0.040117,            0.055047,            0.012327,              0.4162,             0.89796,             0.59294,             0.40626,            0.038394,            0.023183,            0.013689,           0.0088021,           0.0088021,           0.0088021
                 123,            0.036302,            0.054776,           0.0099997,             0.44284,             0.94558,             0.59395,             0.40187,            0.039298,            0.023521,            0.014223,           0.0087922,           0.0087922,           0.0087922
                 124,            0.036533,            0.055968,           0.0093395,             0.44187,             0.92687,             0.57211,             0.38739,            0.041303,            0.024049,            0.014075,           0.0087823,           0.0087823,           0.0087823
                 125,            0.035144,            0.059447,            0.010957,             0.43629,             0.97449,             0.62398,             0.41675,            0.035948,            0.022384,            0.014201,           0.0087724,           0.0087724,           0.0087724
                 126,            0.037043,            0.058531,           0.0094654,             0.43738,             0.97959,             0.63368,             0.43776,             0.03565,            0.021766,            0.013796,           0.0087625,           0.0087625,           0.0087625
                 127,             0.03522,            0.054726,           0.0091948,             0.43591,             0.97959,             0.64942,             0.43942,            0.035669,             0.02194,            0.013756,           0.0087526,           0.0087526,           0.0087526
                 128,            0.035446,            0.058622,            0.010994,             0.41401,             0.98469,             0.65155,             0.43528,             0.03579,            0.021873,            0.013936,           0.0087427,           0.0087427,           0.0087427
                 129,            0.034086,            0.056119,             0.01052,             0.41407,             0.97449,             0.65709,             0.45435,            0.035348,            0.022126,            0.013365,           0.0087328,           0.0087328,           0.0087328
                 130,            0.038252,            0.055658,            0.012808,             0.42733,             0.97359,             0.66762,              0.4601,            0.035687,            0.021817,             0.01314,           0.0087229,           0.0087229,           0.0087229
                 131,            0.038216,            0.061898,           0.0078329,             0.43609,             0.97959,             0.66167,             0.44103,            0.036849,            0.022083,             0.01342,            0.008713,            0.008713,            0.008713
                 132,            0.038423,            0.060799,           0.0095645,             0.41993,              0.9898,             0.65025,             0.45868,            0.034769,            0.021628,            0.013538,           0.0087031,           0.0087031,           0.0087031
                 133,             0.03737,            0.061377,           0.0079575,             0.43491,             0.98469,             0.62212,             0.44997,            0.033164,            0.021065,            0.013824,           0.0086932,           0.0086932,           0.0086932
                 134,            0.037671,            0.050731,            0.013463,             0.42213,             0.96444,             0.61777,             0.44464,            0.032769,            0.022046,            0.014282,           0.0086833,           0.0086833,           0.0086833
                 135,            0.035444,            0.051976,            0.010943,             0.42721,             0.98469,             0.62913,              0.4461,             0.03267,            0.022586,            0.014471,           0.0086734,           0.0086734,           0.0086734
                 136,            0.036839,            0.057646,           0.0088373,             0.40962,              0.9949,             0.63943,             0.44577,            0.033578,            0.023201,            0.014164,           0.0086635,           0.0086635,           0.0086635
                 137,            0.036804,            0.055715,            0.011406,             0.41021,             0.96088,             0.62694,             0.46361,            0.035071,            0.021883,            0.013998,           0.0086536,           0.0086536,           0.0086536
                 138,            0.036118,            0.055008,           0.0099199,             0.42363,             0.92687,             0.61567,             0.44268,            0.035635,            0.021781,            0.013806,           0.0086437,           0.0086437,           0.0086437
                 139,            0.037505,            0.053506,            0.011644,              0.4167,             0.89286,              0.6176,             0.43882,            0.036191,            0.022789,            0.014162,           0.0086338,           0.0086338,           0.0086338
