               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.037532,            0.055456,            0.013413,             0.50612,             0.94558,             0.62068,             0.43019,            0.035228,             0.02288,            0.013046,           0.0091288,           0.0091288,           0.0091288
                  90,            0.036998,             0.05643,           0.0090005,             0.55976,              0.7551,             0.63144,             0.42057,            0.039103,            0.025155,            0.012712,           0.0091189,           0.0091189,           0.0091189
                  91,            0.038383,            0.056412,             0.01493,             0.57147,              0.7309,             0.68964,             0.44443,            0.037997,            0.025032,            0.012413,            0.009109,            0.009109,            0.009109
                  92,            0.039984,            0.058431,           0.0088842,             0.61795,             0.72376,             0.68819,             0.47994,            0.034701,            0.022669,            0.011795,           0.0090991,           0.0090991,           0.0090991
                  93,            0.037391,            0.054334,            0.011566,             0.53415,             0.77903,             0.68899,             0.43635,            0.036751,            0.023148,            0.012184,           0.0090892,           0.0090892,           0.0090892
                  94,            0.036749,            0.052692,           0.0097659,             0.56036,              0.7602,             0.67804,              0.3777,            0.038622,            0.022959,            0.012537,           0.0090793,           0.0090793,           0.0090793
                  95,            0.041628,            0.064307,            0.010883,             0.52724,             0.74193,             0.69032,             0.46285,            0.036305,             0.02242,            0.011877,           0.0090694,           0.0090694,           0.0090694
                  96,             0.03608,            0.059861,            0.011801,             0.65633,             0.64966,             0.70099,             0.41076,            0.041889,            0.024338,            0.011407,           0.0090595,           0.0090595,           0.0090595
                  97,            0.038539,            0.059466,            0.010416,             0.57592,             0.76069,             0.68558,             0.44386,             0.03863,            0.024914,            0.012207,           0.0090496,           0.0090496,           0.0090496
                  98,            0.037036,            0.055938,            0.013257,             0.54381,               0.782,             0.67237,             0.43327,            0.037312,            0.024581,            0.013044,           0.0090397,           0.0090397,           0.0090397
                  99,            0.042346,            0.057946,           0.0086161,             0.51156,             0.77891,             0.65037,             0.42559,            0.038912,            0.023727,            0.013897,           0.0090298,           0.0090298,           0.0090298
                 100,            0.039038,            0.061897,             0.01093,             0.49294,              0.7556,             0.65118,              0.4202,            0.037929,            0.022429,            0.014593,           0.0090199,           0.0090199,           0.0090199
                 101,            0.037978,            0.057883,              0.0104,             0.51837,             0.78401,             0.64703,             0.43999,            0.036608,            0.021991,            0.014969,             0.00901,             0.00901,             0.00901
                 102,            0.035383,            0.056392,            0.011247,             0.58539,              0.7551,             0.69749,             0.47178,             0.03679,            0.023557,            0.013987,           0.0090001,           0.0090001,           0.0090001
                 103,             0.04373,            0.053221,           0.0078618,             0.58706,             0.82827,             0.70751,             0.42683,            0.038765,            0.024509,            0.013636,           0.0089902,           0.0089902,           0.0089902
