               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.040986,            0.055413,            0.012077,             0.41834,             0.87415,             0.60898,             0.40375,             0.03546,            0.022325,            0.013238,           0.0093169,           0.0093169,           0.0093169
                  71,            0.042655,            0.061939,            0.013558,              0.3989,             0.89286,             0.59619,             0.38621,            0.036146,            0.022232,            0.013477,            0.009307,            0.009307,            0.009307
                  72,            0.042152,            0.063361,            0.012803,             0.43589,             0.89796,             0.60347,             0.40371,             0.03359,             0.02213,            0.013482,           0.0092971,           0.0092971,           0.0092971
                  73,            0.037841,            0.058349,             0.01213,             0.42315,             0.88946,             0.64592,             0.38328,            0.034327,            0.022019,            0.013989,           0.0092872,           0.0092872,           0.0092872
                  74,            0.045025,            0.059428,            0.011439,             0.43205,             0.91837,             0.62595,             0.38829,            0.033814,            0.022152,            0.013406,           0.0092773,           0.0092773,           0.0092773
                  75,            0.041787,            0.055851,           0.0093921,             0.44325,               0.895,             0.61205,             0.35762,            0.036643,            0.022453,             0.01298,           0.0092674,           0.0092674,           0.0092674
                  76,            0.042696,            0.060126,            0.011845,             0.43556,             0.91327,             0.65944,             0.41995,            0.035689,            0.021978,            0.012889,           0.0092575,           0.0092575,           0.0092575
                  77,            0.040768,            0.058996,            0.010767,             0.45533,             0.89456,             0.65877,             0.42428,            0.035247,            0.022386,            0.013461,           0.0092476,           0.0092476,           0.0092476
                  78,            0.044119,            0.056882,            0.010113,             0.48863,             0.86606,             0.68411,             0.42339,            0.037908,            0.022703,            0.013394,           0.0092377,           0.0092377,           0.0092377
                  79,            0.038309,            0.062389,             0.01128,             0.48876,             0.90278,             0.67805,             0.44162,            0.037617,            0.023287,            0.013004,           0.0092278,           0.0092278,           0.0092278
                  80,            0.039034,            0.055234,           0.0099674,             0.48538,             0.87925,             0.68679,             0.46916,            0.036415,            0.023148,            0.012605,           0.0092179,           0.0092179,           0.0092179
                  81,            0.037588,            0.053057,            0.012043,             0.51444,             0.85034,             0.67683,             0.40403,            0.041359,            0.023952,            0.012465,            0.009208,            0.009208,            0.009208
                  82,            0.040641,            0.058207,           0.0090655,             0.49406,             0.87415,             0.66856,             0.42867,            0.037172,            0.023605,             0.01281,           0.0091981,           0.0091981,           0.0091981
                  83,            0.042112,            0.058817,            0.011365,              0.5071,             0.85374,             0.64057,             0.38044,            0.040413,            0.024719,             0.01274,           0.0091882,           0.0091882,           0.0091882
                  84,            0.041068,            0.054531,           0.0087186,              0.5425,             0.82143,             0.63097,             0.42465,            0.035771,             0.02352,            0.011809,           0.0091783,           0.0091783,           0.0091783
                  85,            0.036725,            0.059981,            0.010212,             0.53902,             0.73469,             0.63441,             0.39721,            0.038669,            0.025267,            0.011728,           0.0091684,           0.0091684,           0.0091684
                  86,            0.040625,            0.059912,           0.0075155,             0.53679,             0.83163,             0.66919,             0.40773,            0.037515,            0.024612,            0.011373,           0.0091585,           0.0091585,           0.0091585
                  87,            0.040741,            0.058888,           0.0068402,             0.58105,             0.72279,              0.7152,             0.43379,            0.036343,            0.024331,            0.011345,           0.0091486,           0.0091486,           0.0091486
                  88,            0.041441,            0.056733,            0.012236,             0.59313,             0.69388,             0.70063,             0.46343,            0.034303,             0.02278,            0.011487,           0.0091387,           0.0091387,           0.0091387
                  89,            0.037285,            0.058614,           0.0083734,             0.54604,             0.71259,             0.69528,             0.48219,             0.03493,            0.022242,             0.01121,           0.0091288,           0.0091288,           0.0091288
                  90,             0.03601,            0.056538,           0.0099369,             0.66651,             0.63095,             0.70794,             0.44815,            0.036353,            0.024002,            0.011242,           0.0091189,           0.0091189,           0.0091189
                  91,            0.039438,            0.054416,            0.012051,             0.76139,             0.63095,             0.69004,             0.47152,            0.034493,            0.024443,            0.011678,            0.009109,            0.009109,            0.009109
                  92,            0.040192,            0.060846,           0.0092763,             0.70224,             0.66869,             0.71086,             0.45621,            0.036851,            0.024077,            0.012165,           0.0090991,           0.0090991,           0.0090991
                  93,            0.039216,            0.058341,           0.0094042,             0.72518,             0.65986,             0.71049,             0.48548,            0.035489,            0.023346,            0.011901,           0.0090892,           0.0090892,           0.0090892
                  94,            0.043454,            0.057788,            0.010114,             0.60186,             0.74097,              0.7118,             0.51051,            0.035533,            0.022936,            0.012679,           0.0090793,           0.0090793,           0.0090793
                  95,            0.039765,            0.059179,             0.01114,             0.59704,             0.77774,             0.74612,             0.49203,            0.036212,            0.026414,            0.012325,           0.0090694,           0.0090694,           0.0090694
                  96,            0.043383,             0.05441,            0.013153,              0.6246,             0.78319,             0.79072,             0.50864,            0.036253,            0.022961,            0.012506,           0.0090595,           0.0090595,           0.0090595
                  97,            0.038839,            0.061324,           0.0087568,             0.72985,             0.79906,             0.82421,             0.53234,            0.036219,             0.02254,            0.011802,           0.0090496,           0.0090496,           0.0090496
                  98,            0.042343,             0.05682,            0.010322,             0.66084,             0.82143,             0.81379,             0.53241,            0.034823,            0.022715,            0.011884,           0.0090397,           0.0090397,           0.0090397
                  99,            0.035865,            0.056157,           0.0083259,             0.79692,             0.68367,             0.79886,              0.5311,            0.034111,            0.022384,            0.012179,           0.0090298,           0.0090298,           0.0090298
                 100,            0.037829,            0.050049,           0.0084422,             0.58766,             0.85808,             0.75183,             0.48965,            0.034507,             0.02275,            0.011403,           0.0090199,           0.0090199,           0.0090199
                 101,             0.03811,            0.052304,            0.011064,             0.59736,             0.84113,             0.77879,             0.50041,            0.034418,            0.021982,            0.011667,             0.00901,             0.00901,             0.00901
                 102,            0.042728,            0.061979,            0.009385,             0.62782,              0.8631,             0.79543,             0.51214,            0.033036,            0.022568,            0.010956,           0.0090001,           0.0090001,           0.0090001
                 103,            0.035944,             0.05462,           0.0095129,              0.7186,             0.82931,             0.81496,             0.50763,            0.033159,            0.021878,            0.011535,           0.0089902,           0.0089902,           0.0089902
                 104,             0.04098,            0.055187,           0.0070842,             0.67973,             0.87925,             0.82953,             0.50242,            0.033029,            0.022173,            0.010831,           0.0089803,           0.0089803,           0.0089803
